text,summary
"I had tried Fiber One and though I loved it, I was looking for something organic. After reading the reviews, I decided to give Barbara's a try. I had an immediate disliking to its taste. After trying it repeatedly, I still can't come around to its taste. I guess it's not for everyone.",Not a fan
"This food solved some ongoing allergy problems in my dogs....  I went Nature's Recipe for a few reasons1- they never source from China, everything is USA, so I don't have to worry about things like the scare over poisonous Chinese protein that happened a few years back,,,2- no by products... this is the only brand I've found that doesn't have a meat by product meal (by product means beaks, hooves, intestines and a long list of stuff that I would never feed to any animal, and has some proven harmful effects)3- no corn or wheat...  a lot of dogs become allergic to corn and wheat over tie causing all kinds of health problems...  this is the only allergy food that Ive ever found that had no wheat or corn...Great product",great food for allergic dogs
"Erythritol rivals xylitol and stevia as a very good sweetener. There is no aftertaste (I also use liquid stevia and stevia extract and all forms seem to have some aftertaste.) Erythritol, though, is not as sweet as xylitol which is why I probably would return to xylitol.",Great substitute for sugar.
There used to be a flavor that Green Mountain Coffee Roasters made called Raspberry Rhapsody.  It was really good.  You could drink it plain over ice. It was a seasonal summer coffee just like this one.  Sweet Summer Raspberry blows the socks of RR!  This coffee is definitely my favorite.,Better than Raspberry Rhapsody!
"I ordered these because Dr Oz said they were a good source of fiber and they help you feel full. As soon as they arrived I tried one. OMG, it was like eating a mouth full of compressed wood. Tried it again with a little almond butter (also Dr. Oz recommendation) Didn't help. These things are ghastly! Would still eat them if they helped me feel full, but that didn't work for me either. I'll stick with quaker rice cakes as a snack. I actually like those.",Like eating pressboard
"I love the creamy coconut filling in the center of this candy.  The problem is, I have gotten some of my grandchildren in love with it also.  I should be buying this in bulk!!!!!!",This is the best candy ever if you love coconut!
"I wish I could be responding more favorably, but this is my honest experience.  I was excited to find lightly salted and low fat kettle chips on Amazon at a good price.  I was going to have them delivered every six months.  When I got my first order I got seasalted chips instead of lightly.  I called about it and they put through another order at no charge to me.  Second order again wrong chips.  So I called and cancelled automatic delivery.  The chips are good except they are a little too hard and hard on my gums.  Also too salty for me.  The above should have read (lightly salted)I have to admit though that I do like the chips because they are lower fat and may order again.  I just wish I could have gotten lightly salted ones.  ""Thank you.  Irene Zalonski (zalonski @sbcglobal.net)",a few complaints
"A big fan of kettle-cooked chips since I was a kid, I tend to go around buying any and all brands and flavors I can find.  As a result, Buffalo Bleu was on my list.I was in for a real surprise when I got my hands on this flavor.  It has a great taste -- not too sweet, not too salty -- and a nice crunch.  There's not really anything else to say; if you like good chips, give these a try.",Great flavor and texture
Phew!  Am I glad I found these Senseo Paris French Vanilla Caramel Bistro Coffee Pods!  All of my local stores either do not carry them anymore or are charging over $5 for one 16-count bag.  The 6 bag pack should easily cover the 3 month subscription time frame as I only use one pod a day.  The other great thing is that the package's expiration date is many months in the future so I know they are fresh!  I highly recommend subscribing to the automatic re-order system. Thank you Amazon.com!,So glad to find Senseo Paris Coffee Pods!!
"Campbell's classic chunky chicken noodle soup, in a handy microwaveable bowl. I usually don't buy low-sodium food, but wanted to try this ""sea salt"" variety. Definitely has a lighter, less-salty flavor compared to the regular variety, but still has flavor to it. Good for people on a low-sodium diet.","Good chicken soup, with lower sodium too."
"my whole family really enjoys these cereals. real dried fruits enhance the taste of granola. We are ordering the strawberry but we also particularly like the blueberry. Thanks for a good, nutritious, no-salt cereal we can eat every day. oh, and a good price too since you get 6 boxes for only $16.","tasty, no salt granola cereal"
"From what I heard, the basket was nice and delivered on time but the recipient had no idea who sent it. Despite my well worded thank you note (the gift was a small token of appreciation)that I had entered in the appropriate box on the order form, there was nothing included. The recipient eventually called Amazon and found out who had sent it.  This was embarrassing and a let down on what good service I have grown to expect from Amazon.","Nice Basket, No note"
"Taste is sour- I use drink mix sticks every day and no matter how I mixed them, I just couldn't get them to taste good.",Global Brands Grape Mix Sticks
"Last spring, I bought a bag at a chi-chi pet store of the pretentious name ""Phydeaux,"" and was thrilled. It came with a few high quality treats, for long chewing and snacking. It had jerky, pig ears, a pork shoulder frame with some chitlins affixed, and even some bully sticks. I bought another bag last week as a special treat since we were moving to assuage my dawgs' nerves. Lo and behold, the bag was filled with only the most pedestrian snacks. No bully stick, no ears, no jerky. Just some puffy rawhide, like the dog version of getting puffed grain as a meager substitute for jasmine grain. The dogs are not interested in anything in the bag, whereas last time they went hizzy as soon as I reached in the general direction of the bag. Oh, well. Market players try to adjust things to where they are just of a high enough quality that we will pay a premium. Sometimes, like in this case, they go too far and lose a customer.",The Quality Plummeted in Months
"The box arrived today- haphazardly taped together with a huge part of the box missing, and paper crumbled around a plastic grocery bag full of the 8 bags of Cheez Waffies (NOT a factory box).... The bag was tied shut, and the bags of the snacks were a bit rumpled, but amazingly, the first bag I've opened has intact Cheez Waffies.  The expiration date is for February 2013 (it's September 2012 now)- so more than acceptable.Many of the 'sandwiches' have fallen apart, and are missing their matching 'waffle', but they are whole halves- if that makes sense. Naturally there are some broken pieces, but not an abnormal amount.  I don't think they taste like Old London-but they're close enough to get by.  I can't find anything around here that comes close, so I'm glad to have them.",Great to get an old favorite again !
Best coffee in town!  The aroma & flavor are wonderful.Would like to order ASAP but it's not in stock. Please alert me when available.thanks!,Douwe Egbert HAZELNUT coffee
This product arrived so poorly packaged (no interior padding at all). Then postman left in a sunny spot on my porch all afternoon so I was not confident the sauce wasn't spoiled. I decided to be safe and just throw away rather than have to deal with return. Very disappointing transaction.,Poorly packaged...threw away
"The quantity information on this product is inaccurate. The ad says each bag is 1.5 ounces, (even 1.75 ounces per bag, if you read further on the description), but it has actually been downsized to 1.2 ounces.For the case of 12 that I bought I received a full 3.6 ounces less than was advertised. Customers have a right to know how much product they are getting when they order. Although I have informed them of this error they still have not changed the promotion to read the correct 1.2oz. Buyer beware.Edit: I didn't realize while I was complaining about the downsizing that they also changed the formula. The product is less crunchy, almost stale, and far more crumbly than before. I am removing my subscription to this product.",Product is barely edible & packages do not include the amount advertised.
"Seriously, how does a baby cereal touted as a good choice as a first baby food contain these big NO-NO ingredients?! How can it be labeled as ""single grain""? There's no reason ""oat flour"" should contain wheat... I bought this thinking I could avoid supplementing with probiotics & dha... should have read more closely before purchasing.. Forget it, I'm going back to simply grinding up my own oatmeal.. sick of over paying for 'baby' cereal anyways...",Contains WHEAT & SOYBEAN OIL?!
"The flavor of these pods is horrid.  I ordered them only because Senseo was out of stock for so long, and I needed some decaf pods, and these had received a couple good reviews (which I now suspect were written by Baronet employees).  I have never tasted such awful coffee before. A big ""YUK"" for Baronet.",These are absolutely revolting
"I am cooking for someone who is in CHF, so sodium free is a must.  I first tried this product in Heinz No-Salt ketchup and was impressed that there wasn't a metallic after-taste.  I tracked this down and have used it in baking mixes, general cooking or anything that I would normally salt.  It's really good!  I had to slip it by my Dad, but once he actually tried it in food, he was hooked.  It's not identical to salt flavor, but it's close enough to fool many!  I highly recommend this product!",Best sodium free salt substitute yet!
"I just forced myself to finish my first and last can of Berry Steaz Energy.  I have a very high tolerance for bad tastes; I used to drink Garden of Life Perfect Food (An unflavored greens mix which tastes and smells like grass) mixed with water on a daily basis.  However, the taste of this drink was downright weird and nasty.  I've heard good things about the orange flavor but I'm afraid to try it after this experience.",Worst tasting beverage I've ever consumed.
"One of my cats is extremely fussy when it goes to toys. He likes his mice, but he is always tearing those up. I have tried many others but he just walks away from them. Until I found these. He goes nuts. He is always carrying them around in his mouth. Then will drop it and start batting it around. When that one 'escapes' he goes back to his basket and grabs another. His favorite thing to do is go into an empty bath tub with one of these. He can spend hours in there playing.I highly recommend these. They don't shed, they don't fall apart, they don't break, and they are completely washable!",Cat goes Looney for Looney-Loops
I recently purchased a cran lemon zest food bar from Earnest Eats (aka Honest Foods) at a health food store.  I don't usually buy these things but I was starving and I liked that the packaging was clear so I could actually see what was in the bar.  It was absolutely delicious!  I have not seen this brand around very much but I will certainly be on the look out for it now.,Yummy food bar
"This is a good sesame cracker for cheese or other toppings.  Lightly flavored, and crunchy.  No soy, no sugar, no HFCS. Just wheat flour, palm oil, salt, and sesame seeds.",Touch of sesame
"Out of 15 honeys, 7 arrived broken inside the box.  The packaging of small glass jars should have been much more rigorous...why wouldn't they have used bubble wrap at least???!!!  The worst part was, these were supposed to be part of a favor bag for my friend's baby shower and I couldn't replace them in time.",Poor Product Packaging
"MY FAVORITE COOKIES! I love Oreos without the cream and these are perfect. They taste just like the ice-box cake cookies sold in the larger flat cookies, too.... BUT.....I need to know exactly what ""natural flavoring"" is because I react horribly to MSG and similar glutamate heavy ""altered 'natural' foods"" that are allowed by the FDA. I am trying to eliminate even small amounts from my diet to prevent future effects that build up with the trace amounts you get in each item.  The FDA allows many flavor enhancing trace chemicals that have the same effects as glutamates on people.... but they don't have to specifically list them and it leaves me in a tough spot for enjoying packaged foods :(I can't wait to start chomping these again!!  :)","I need to know what ""natural flavoring"" specifically means... can't have MSG or any similar chemicals slipped into some foods."
"I've purchased several Amy's soups. This is by far my favorite. Only complaint would be that they should take out maybe half of the sodium (from sea salt, or salt by any other name).I might try experimenting with adding some bulk lentils to reduce the sodium. Still gets 5 stars in my book because the taste is excellent.",Best Amy's soup
"I bought these for the health benifits, but they did not work so well in tea for me. Instead I put a heaping scoop in with my coffee grounds everymorning and it adds a very subtle fruit flavoring to my coffee. Everyone that tries it loves it.",Goji with Coffee
"This is the only coffee I've bought for a few years.  I grind the beans myself and make it strong with a little half-and-half.  The flavoring is not necessarily noticeable, you might think that it is an unflavored coffee.  It tastes smooth and creamy, not bitter.  I prepare this coffee the same way when my parents visit and they ask, ""Why is your coffee so good?""  So I now give them bags of this coffee for gifts.  I prefer the whole-bean coffee, I think it tastes fresher.",My Favorite-Cameron's Toasted Southern Pecan Coffee
"My wife and I love these, and more importantly, so does our daughter.  They have a good texture that lets her practice chewing with her limited teeth.  I like that there's nice mixes of flavors, not just creamed peas, or pureed spinach, but chunky mixes of vegetables and meat broth. The first time we ordered these it took a while for them to come, but the next two times, they were sent right away.  The food is actually good enough that I would eat it with a little salt.  It's also nice that we can donate the bottles to our local art teachers for use in their projects.","Great Deal, Good Food"
"Most people that buy powdered eggs tend to use them in recipes as a replacement for real eggs.  My introduction to instant eggs was not so indiscreet.  I first tasted them on a camping trip with my sons scout troop quite a few years ago.  It was late spring and getting warmer so we were concerned about bringing real eggs along.  We had the ""Honeyville"" brand that is available here on Amazon as well. I found them to be surprisingly good scrambled.  In fact when done right they seemed indiscernible to me in respect to real eggs.  Same texture and flavor.  I decided to buy more powered eggs years later when I started to do more numerous hikes that took me further out into the wilderness, and I found myself missing the taste of eggs over an open fire. Being the frugal gourmet that I am I opted to try the Barry Farm egg powder over the Honeyville for it was a bit cheaper. Not only that, but I already owned and have used Barry Farms chicken and beef bouillon powder for quite some time and found them both to be excellent in soups and stews.  I am pleased to announce that my being a tightwad this time around was very well placed, and rewarded. The Barry farm egg powder taste very good when prepared right. I make them here at home as scrambled quite often.  And as a recipe substitute I find they are undetectable as to be compared to real eggs. They are most definitely just as good as the Honeyville brand. (Although in all fairness, I have noticed lately that Barry Farm is just about the same price now as the Honeyville. I still prefer the taste of Barry Farm).  The only suggestion I would make to anyone that wishes to be adventurous and make scrambled eggs with this powder is make sure you grease the pan well.  They stick something awful if you don't, just like real eggs.  There will always be a core amount of folks that would never attempt cooking or tasting powdered eggs either scrambled or in a recipe. For those that fit into that category don't bother to get adventurous now.  For those of you that have tasted these before, or are tempted to taste them now, I highly recommend Barry Farm egg powder.  They're nowhere near as bad, or the same powdered eggs soldiers used to tell horror stories about when talking about the cuisine of their war years...",Not Your Fathers Powdered Eggs
I Love this product. Exactly what is described and excellent quality. If you desire to fry some shrimp this is your healthy alternative to all the nasty oils and grease. This product is actually healthy to fry chicken with (On low heat). One tip is not to store this near an open flame...It is extremely flamable...I mean very!!! Do not use this to coat a grill :),To Your Health_ and very flamable
"I don't enjoy giving products a bad review but I was so disappointed I had to.  I've tried quite a few teas and I've been able to drink teas that others say taste like dirty dish water so I can get down some pretty harsh teas.  I usually don't use any type of sweeteners either because I drink my tea right before bed.  I've tried to give this tea a chance.  Ive tried it with sugar, honey and lemon and masking the flavor with vanilla and a little milk.  To me, this tea smells like dirty feet and probably tastes like them too.  I've also tried straight chamomile teas before too so I know it's not that.  I would rather eat the plant itself than drink this tea.  I haven't tried any other Twinings products so this review is strictly for this product.",Just plain gross!
"I bought this as a gift for my father-in-law.  The pieces I tried were disgusting.  I have had elk and bison meat before and liked it, but unfortunately this stuff was gross.","Great idea, bad taste"
Bakery on Main does well with their Apple walnut granola as well as there cranberry granola. I would give both of those 4 stars (excluding the price frusterations) but the extreme fruit and nut isn't any good. Tastes gross to me. They need to totally change this recipe.,Not very good.
"We sampled a number of different K-Kup blends and this one seems to be the closest to what my wife describes as a smokey flavor, overall a great cup of coffee. I prefer a less bold taste but it's a  a definite 4.5 stars.",Great Smokey flavor
"I was disappointed in the size of the fig bars. I received some as a gift in the past, and they were three times the size of these bars. The ones I received here, look like they are bite size, fun size, or children's size. I think I was misled by the image shown of this product. I think it would have helped to show a horizontal picture of the bar. Also, maybe put in the description that these are ""fun size"" fig bars so people know they are not the normal size they should be.On a good note, these bars are very tasty. I will just have to make sure I order the correct size next time.",The bars are a lot smaller than expected.
"If you grew up eating these in the 1980s and so on, you're likely to notice a change in the quality during the past few years.  My family and I noticed these changes:The cookies that had currants in them no longer have the currants.  If they do, they are so miniscule that you can't see them or taste them when you eat the cookie.  When I was little, I thought they were mini chocolate chips.  But they are gone now.The cookies usually appear to be over-baked.  Not necessarily dark, but too hard.  They used to have a delicate, light crispness to them, with a tender butter cookie feel in your mouth.  Not anymore.The flavor is a little different.  They are not as pleasant and sublime as before.  Just average store cookies now.We loved buying these cookies, but have since stopped purchasing them because we miss the originals.",They changed somehow
"This was a fabulous curry sauce kit!Spice packet was good and tasty.  We made ours w/beef filet tail.Initial concerns over dehydrated coconut sauce mix were totally unfounded.  This had a tasty flavor, smooth texture, and was a great mid-week meal.I would highly recommend these for busy people who enjoy good food, but don't have a whole lot of time.",Great mix - quick dinner!
"By far the strongest of the Twinings Tea. And even with a name like Irish Breakfast Tea, its good any time of the day to drive off that sluggish/draining laze. If you crave that  jumping coffee caffeine hit , but cant stand the life sucking crash an hour later, then you will enjoy this tastey tea.",The Power Punch of Tea
I wanna give it zero star. I can't believe that they can make such a terrible snack stick. It's extremely salty and hard as a rock. The expiration date is just 2 months from now and it can't be returned. I am a huge Amazon fan. But this time I am very disappointed.,"Terrible, I wanna give it zero star"
"I am constantly trying new foods, and when I read about the nutritious value of almondmilk, I decided to get a two-pack. About two weeks later, I opened my first one and gagged when I added it to my cereal. The taste was just unbearable, and for once, I found my vocabulary lacking in adjectives to describe it's taste. I checked the expiration date, which wasn't for another 8 months, and left it onto my refrigerator. Perhaps I purchased a bad batch, because the other one started bloating just sitting on my counter (I purchased the shelf-life ones and refrigerated them after opening).The only way I can tolerate the taste is to put some protein powder in it and mix it with some agave syrup. I've eaten a lot of MRE's in my time in the Army, and this easily ranks below any nasty thing I've eaten (or drank). I'll stick with my regular 2% milk and continue with a vitamin supplement for nutrition.",Taste: definitely a matter of personal preference
"I divide a pack into 3 pieces about once a week for my cats. They are a bunch of American Shorthairs that wandered in from wherever cats come from and my wife started feeding them. Most of them are between 10-15 years old. They love this type of food, and come running when they get a whiff. It does smell good, and in a pinch, I might try it in a sandwich. Just kidding. Anyway, if you are looking for food for a finicky cat, this is the one.",My cats love it.
"This is NOT the Nestle's milk chocolate I had as a teenager growing up in the 70's, which started my lifelong love affair with milk chocolate!  Nestle's changed and cheapened their formula!  What once was a creamy, rich, delectable, world class milk chocolate is now a cheap tasting mess.  Thank God Boyer hasn't changed their 'Mallo Cup' formula (one of my other fave candy bars).","Nestle's CHANGED their formula, thus taste!  TERRIBLE chocolate!"
I thought this soup would compare to the regular Split Pea and Barley soup...which is delicious. This soup is more gritty and doesn't have any substantial pea pieces in it. I would suggest ordering the full sodium split pea and barley.,Not nearly as good as the other soups
"I ordered this item and several other choclate items from Euro Food Mart and was sorely disappointed in the products I received. They arrived melted. I didn't realize that I needed to have them shipped EXPEDITED. I mistakenly assumed that by paying $12 for shipping, the items would arrive with some kind of coolant. Previous to placing the order I clicked on the Shipping link for detail, and perused the chart that appeared. I failed to scroll down and see the information stating that in order to assure the use of ice gels, orders needed to be Expedited. So, on a $26 order, I would pay an additional $30+ for Expedited delivery. When I initially received my melted chocolates, I contacted Euro Food Mart and received a very rude and curt reply from Cris in Customer Service informing me that during the checkout process I was offered shipping with ice gels, but I chose to decline it. Sadly, the melted chocolates did not fair any better after being refrigerated. They cracked easily and no filling was discernable. Admittedly, it was my mistake not to notice the note on Expedited shipping, however, the response from Euro Food Mart's Customer Service lacked objectivity. My rating reflects my entire experience....quality of shipped product and customer service provided by Euro Food Mart.",Terrible Customer Service from Euro Food Mart
"This was a very disappointing coffee.  It is very weak, I had to set my brew to a medium just to get any flavor from it and  large is very watered down. I would find something different before buying this again.",not worth the money vey weak
This tea is amazing! i love the taste and smell of it. I average anywhere from 3-5 cups of this stuff a day and cant get enough! plus the price is insane. a definite buy for the jasmine tea lover.,Amazing taste for the price
"I used to pick these up from the corner store as a kid and share them with my friends. These things used to be HOT and GOOD! Last time I brought a bag was about 10-15 years ago because I hardly find them anywhere but liquor stores and unfortunately I don't drink. These newer hot fries just aren't the same. They are extremely Salty! and only mildly hot. They also taste more like cheese doodles than anything else. No burn your mouth taste, no slender little fry shape, these just aren't the same. I made the mistake of buying 2 of these and sorry to say but these are too salty for human consumption. They should call them SALTY FRIES.",What happend to Hot Fries?
"I ordered this product on Amazon to get some of the flavors we can't get in the US, namely, bacon, worcestershire, and prawn cocktail.  The photo of the product was so small and the description was so vague that I didn't realize until it came that what I was getting were actually 3 flavors of crisps that I can get down the street from my house:  cheddar cheese and onion, salt and vinegar, and regular flavor.  I was VERY disappointed.  Instead of trying again to order online, I will ask friends in the UK to shop and mail them for me.",Walkers Crisps 6 pack
"As someone who loves coffee and orange juice, I didn't really see the point in this ""energy drink."" I'm not exactly nuts about the energy drink fad either as I prefer to get my nutrition naturally. But this Vitamin Squeeze looked like it could be pretty good so I gave it a shot.There are a few problems off the bat. There's no real way of measuring how much to put in your cup. I guess you could use a measuring cup, but that seems like a hassle just to put something in your water. Beyond that, there's no way of fixing it if you put too much in. This drink requires a fair amount of finesse as there's no real margin for error.Beyond that, it tastes really fake. Like watered down kool aid infused with one of those vitamins that's not supposed to have an after taste but does. This drink is supposed to be an easier way to get your vitamins, but it certainly is not.I don't recommend this drink to anyone. It's possible that some people may enjoy this taste. But for the price and what you're getting, it's just not worth it. Drink a cup of coffee and some OJ instead.",Not Really Worth It
Properly brewed this yields a dark red delicious tea which can lower systolic blood pressure by 20-30 points without other medication.,Davidson hibiscus tea
"This sauce is another favorite of mine. What I like about it the best is that it's taste to me is not unlike that of freshly made red chili enchilada sauce. It is not all that ""hot"",(to me),but has a real good veggie-like,piquant chili taste like you'd get from a bunch of fresh New Mexico red chilis on a ristra. I buy it once in a while.It also goes good in canned ""chile"" to freshen up the taste,along with a can of Las Palmas red enchilada sauce.",like a good enchilada sauce
I didn't care for this because it had a bad after taste there are many other brands of k-cup cider that are far better then this one. You should purchase one of them.,It has a bad after taste
"I am disappointed in this product because it's not pure.  Has some additives, including sugar.",Roland Coconut Water with Pulp
"I was hoping for a much stronger cinnamon flavor. But this cinnamon is more like the store bought McCormick cinnamon. Nothing realy fancy about it.  I am sticking with the Cinnabon Makara Cinnamon for my baking needs. Otherwise, this a ""standard"" cinnamon. Nothing special.",Not as flavorful as Makara Cinnamon
"Sorry candy, it tastes old and its a long way from Creamy and the shipping cost will blow you away. If you have ever had Mackintosh Toffee in the bar don't expect the same great candy in the indivdually wrapped pieces that come in the bags. I would never buy it again.",Mackintosh Creamy Toffee
I received these as a gift from a co-worker and was thrilled with them.  I recommend these as well as the clove cookies.,These snickerdoodles are great!
"Not easy to find SOY FREE cereals, especially organic ones, but this cereal is excellent!  Cascadian Farm Cinnamon Raisin Granola, 17-Ounce Boxes (Pack of 5).  We use it as a snack, while working online or reading, and it makes an excellent bedtime treat because it really seems to promote sleep! And the price on Amazon, $3.38 per 17 oz box, can't be found anywhere else. At our market, Cascadian farms cereals are way over $5 per box! Recommended!",Very GOOD Granola with NO SOY!!
Big hit in this house...wish the maker would reduce the calories a little. Will buy again.,LOVE  this treat.
"I now notice it say 36 count!!  I am not sure who changed that, but before I wanted a 5 lb. Hershey Bar!!  When I called the Seller they did nothing!!  They said sorry, and got me my 5 lb. Hersey Bar that I had to pay for in addition to the 36 Count that I had and could purchase a lot cheaper at a mini mart!!!",Call before placing order!!
"I use vinegar in many different ways at home, not just for cooking.  It is a great cleaner - cheap and totally green, no harsh chemicals.My favorite use for it is to clean suede shoes and boots.  Once suede is stained, there is about 24-48 hour window before the stain sets in.  I mix 40% white vinegar and 60% water solution, and blot the stain with a wet paper towel.  When the cleaning is over I stuff the shoe/boot with newspapers to make sure the shape is retained and let it dry.  Note that it should dry naturally, not next to a heat source like a radiator, as it the heat will damage the skin.Vinegar's magic ingredient is acetic acid. All vinegars are produced by oxidization of alcohol into acetic acid.  Since people have been making wine for ever, vinegar was an accidental by-product a long time ago.Here are some of my additional uses for vinegar:1. I add a few tablespoons of white vinegar to water when poaching eggs.  It helps whites stay firm, so if you get an accidental crack in the shell the white will not leak out.2. Adding vinegar to wilted veggies will make them perk up.3. After cooking I don't like to keep the smell of onions on my hands, a quick wipe with vinegar removes the odor.4. When I had a garbage disposal i would mix vinegar with baking soda and put it down the drain. After the mixture fizzed for a few minutes I would flush it along with the smell.5. After washing stemware in some dishwashing linquids they become cloudy.  Cleaning them with vinegar removes the white cloudiness.6. Vinegar works well cleaning grout. I dip an old toothbrush into vinegar and can get stains and dirt out quite easily.7. Vinegar and vegetable oil (50/50) work well removing water stains from wood.8. If I have stains on clothing (food or sweat stains) I wet them with vinegar before putting in the washer. It helps to get out stubborn stains.9. My mom always added a cupful of vinegar to the rinse cycle. Acetic acid is not harmful to clothing, but it dissolves soap residue and dark clothing comes out brighter.  It also has a side effect of working like a fabric softener.10. In the winter I use vinegar/water solution (3-to-1) to wipe down my windows and it keeps them frost free.11. I have a few cracks in my drive way, rather than pouring chemicals on the weeds that grow from these cracks I use 50-50 solution of vinegar and water to keep them under control.12. I like to keep cut flowers on my dining room table, and to prolong their life I add a tablespoon of vinegar to the water along with a teaspoon of sugar.Vinegar is a very useful thing to have at home, I recommend it!Ali Julia review",Great stuff! My 13 favorite uses for white vinegar described
Loved it til I saw the recent price increase.  Subscription price goes from $16 to $30.  Are you kidding me? I'm outta here.,Huge price increase
"ask yourself if u might not prefer chopped clams. Minced are minced very very very  very small. I don't do clam dip, I bought this to fortify Linguini with clam sauce. I shoulda got chopped",boy they are minced small
"Just introduced to the Weruva line by a friend, and am very impressed by the high-quality ingredients.  My nine kitties approve as well - four paws up!  When opening the paw-lickin' chicken cans, it smells and looks good enough to eat myself, really.  The gang loves the broth and eats all the meat until it's gone.  Sure it's a little pricier than other brands, but you get what you pay for.  Highly recommended.",Finger lickin' good!
"I first discovered this brand 4 yrs ago at Wholefoods when preparing for a trip to a national park. I bought this one and another one among the highest priced caned fish, and compared them side by side, this one won hands down.What I like:- It is very tasty, and canned in its own juice instead of spring water that most of other brands use.- It has a loop which you can pull the can open. This is an indispensable feature for my outdoor activities. Again, most of the other caned ones don't have.Since I discovered this product and its salmon version (which is also delicious), they become my lunch staple together with some tomatoes and apples, whenever we go out on a whole day biking, hiking or xc skiing trip.",Must have for our outdoor trips!
"I love these Snapea crisps, and so do my kids.  Now, I realize they aren't exactly a health food, but as far as junk food goes, I consider them to be on the good end of the spectrum.  Thanks for carrying these, Amazon!","Delish, and a good price"
"Of all the varieties of K-cups I have tried, I can say this has been the worst.  Don't waste your money.  It does not taste anything like real hot cocoa and I did not detect any milk chocolate flavor.  The Swiss Miss are a considerably superior product, although still your making it with water so it will never taste as good as home made.",Don't waste your money!!
"I found this yummy Marge's Bakery bread in Whole Foods about two months ago. Their natural taste (with no after-taste) satisfies my cravings. Wow, it is the perfect crowd pleaser. For me it can be breakfast, snack or a major craving. The cookies are great too. I have been back several times to buy these. Sometimes they are out. Now I can buy them on line :)",Vegans' are people too
"I was very excited to find a natural beef jerky without any wheat in the ingredient list!  HOWEVER, once we actually got it and read the (very long) ingredient list, we were very disappointed.Here's what the manufacturer listed as ingredients:Ingredients:Beef, Lite Salt (Salt, Potassium Chloride), Chilies, Brown Sugar, Sugar, Black Pepper, Garlic, Citric Acid and Cornstarch.Here's the actual ingredient list from the Hoppin' Hickory flavor:Ingredients:Beef, water, corn syrup, sugar, salt, soy sauce powder (naturally fermented soy beans, wheat, salt, maltodextrin), worcestershire sauce powder, corn syrup solids, salt, caramel color, garlic powder, sugar, spices, soy sauce solids, naturally fermented wheat and soybeans, salt, maltodextrin, caramel color), palm oil, tamarind, natural flavor, citric acid, garlic powder, onion powder, spice.Not the worst ist in the world, but since we have wheat allergies, we can't actually eat the product.  We're also trying to avoid corn syrup.  I realize it takes a while to type out all of the lable ingredient lists, but since these are non-returnable items and will be ingested, it is the manufacurers responisbility to inform customers accurately regarding what is actually in the product.Another reviewer mentioned that a product had sucralose in it...some folks get very sick from these ingredients.  It's my responsibility to read the package and double check prior to actually eating someting (which I did) - but it's disappointing, expensive, and a hassle to get something other than what I've ordered.My appreciation to Amazon for refunding my purchase because of the inaccurate info on the web site.",NOT natural - ingredient list NOT accurate
"Fiber One is a great cereal.  It is tasty enough to be eaten on its own, and it can be mixed with other foods to boost their fiber content.  My favorite mix is Frosted Cheerios with Fiber One.",Fiber One is GREAT!
"The brand is good. The price is right. The tea was not aged long enough, in my opinion. It is bitter. And the flavor is weak. I will not buy again. I put cream and sugar with it and this makes it tollerable. I guess I am spoiled by the Oolong I get in china town, but of course I pay a premium price.",not what I prefer
"These are great! My sister ordered some GFCF chocolate online for her son for Easter and when it didn't arrive in time, I was forced to find an alternative so he could have the same kind of Easter as his brothers. I found these chips and some Easter bunny and egg molds and made my own chocolates. They melt great and you would never know they were GFCF! They're a hit !",Best GFCF Product Out There !
"I received this product on October 20th, 2010, and so far it is about 20 days I tried the product.  I found the easy way to take the product is to take a half spoon of the powder to your mouth, chew it, then put some fruit drink in.  I felt some more energy by taking the product, but nothing concret yet.",Acai Berry Powder Review
"I received this product three months ago.  The first seeds started to grow then died within a few weeks. The customer service center is taking a month or more to get back to customers.  Two months later they say that they will send me a new package of seeds. Great except after one week the bulb burnt out after only a total of three weeks of use (2 at the beginning and one this time).  So, now these seeds are going to fail too.  Ridiculous to pay so much for nothing.",Still not working
"I have purchased these cookies twice now (I'm backlogged, but I was afraid that Amazon wouldn't stock them again) and I'm slowly eating my way through them.Many people have attempted to describe the taste and I agree with most of the previous descriptions - they are not hyper sweet or milk chocolate-y, but rather almost like a darker chocolate taste.  Don't take me calling it dark chocolate to mean they're bitter, because they're not, but imagine the taste of a normal Hershey's bar if you removed half the sugar.  You'd still get the nice taste of chocolate, but just in a more subdued fashion.  If you have a chocolate craving, and not a sugar craving, you'll love these cookies.  If you have just a simple sweet tooth and a craving for sugar, well these may not be quite what you're looking for.One thing to keep in mind is that these are what I would classify as ""very hard"" cookies.  Most of the cookies you find on the grocery stores now days contain quite a few fatty ingredients that make the cookie yield in your mouth instead of crunching.  These suckers crunch.  A lot.  I would even go far as to say that if you have dental issues, milk would be a requirement to eat these.  The texture is very similar to eating Nature's Valley granola bars (not the chewy ones).","Very crunchy, very good"
i was disapointed since this product is not like the original. the chocolate is darker and not creamy like the original.,nestle chocolate bar
"We gave this natural food a shot, but it turned out badly.  We started by mixing it with their old food, but right away serious gas and loose stools kicked in.  We removed the food from their diet and they are back to normal.  Maybe we got a bad batch, but this was very rough our both of our dog's digestive systems and rough for us as we had to cope with the unfortunate results.","Wow, talk about impacts on the digestive system..."
